eval_name,CourseLevel,did,cid,question_type,question,label,value,value_5pt_adjusted,eval_sort_order,l_name,f_name,answer_text,Student,StudentFirst,StudentLast,OSCE Flags,eval_end_date,Yr,Block,ProcPercent,EPA_Tag,EPA_Abbrev,EPA Committee
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>History Taking Skills<b>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,1,History and Physical,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Seamus successfully developed his history taking skills during this first clinical rotation, obtaining a comprehensive history with thoughtful open ended questions and appropriate review of systems. His efficiency and organizational improved throughout the rotation. 

","Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Katie was very self-motivated and would read about interesting cases without prompting.","Bell, Katie",Katie,Bell,,8/4/17,2017,5,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>History Taking Skills<b>,PGY1 Ready<br><br>,4,4,,Summary,Evaluation,,"Bell, Katie",Katie,Bell,,8/4/17,2017,5,0.4,1,History and Physical,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Katie has an excellent fund of knowledge and is a very motivated learner, oftentimes reading more about interesting case presentations without prompting.","Bell, Katie",Katie,Bell,,8/4/17,2017,5,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Clinical Reasoning-Differential Generation<br><br>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Bell, Katie",Katie,Bell,,8/4/17,2017,5,0.4,1,History and Physical,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Katie is able to ask open ended questions and able to obtain a very thorough history from patients. Quick learner. Able to navigate EMR well.,"Bell, Katie",Katie,Bell,,8/4/17,2017,5,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,see below,"Crabbe, Vincent",Vincent,Crabbe,,6/30/17,2017,4,0.6,G,General,"Ryan, Mike"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Presentation skills</b>,PGY1 Ready<br><br>,4,4,,Summary,Evaluation,,"Crabbe, Vincent",Vincent,Crabbe,,6/30/17,2017,4,0.6,6,Oral Presentation,"Ryan, Mike"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<font size=‰ÛÏ3‰Û><b>Summary Comments:<b> Please add summative, additional comments in any area beyond those provided above.  Comments should refer to specific behaviors, reinforce/clarify your above ratings, and particularly address areas of strength and weakness.<br><br>",,,,,Summary,Evaluation,"History Taking:  Vincent's history taking skills became much more efficient as the rotation progressed. He demonstrated an ability to listen to the patient and search the EHR for relevant data. Patients felt that he was attentive to them and was thorough in the information he gathered.
Physical Exam:  Vincent performed very thorough physical exams.  He routinely asked to confirm exams with his preceptors when he found abnormalities.
Fund of Knowledge:  Vincent had a strong fund of knowledge, at the level of most 4th year students. He was a very motivated learner who would research what he didn't know and then come back to the preceptor after reading to educate the preceptor as well.
Clinical Reasoning:  Vincent was able to handle patients with multiple serious medical and psycho-social conditions efficiently and generate a thorough differential. His plans were appropriate.
Clinical Presentation:  Vincent's presentations were efficient and concise.  It was easy to understand his thought process.
Patient Management:  Vincent was able to manage very complex patients, and also followed up on their issues after the visit.
Patient Communication and Counseling:  Vincent developed very good rapport with patients and I could often could hear them laughing with him. Like most of us, he still needs to work on using non-clinical language with patients.
Professionalism:  Teamwork and Communication:  Vincent was very diligent, and extremely professional. He had good rapport with office staff as well as physicians.
Lifelong Learning Skills:  Vincent was always motivated to do and read more, and circled back to attendings to fill them in on what he'd learned.
Summary:  Vincent was a pleasure to work with. He is a mature, motivated, diligent and well organized student with strong communication skills.  He was able to manage very complex patients.

Clerkship Didactic Review:
Review of Med U Formulations Statements: Vincent's formulation statements were missing pertinent information from the history and/or physical.  
Social Determinants of Health Interview:  Vincent interviewed a disabled wheelchair bound patient who lived in an extremely poor rural community without transportation or running water and was very isolated. Vincent interviewed this patient during a home visit, and was struck by this patient's very challenging living conditions, and how significantly they contributed to his inability to care for his many chronic conditions. Vincent's essay demonstrated a real understanding of the importance of social determinants on the health of the patients he cared for, as well as the value of home visits in truly understanding the lives of patients and the challenge of delivering medical care in underserved communities..
","Crabbe, Vincent",Vincent,Crabbe,,6/30/17,2017,4,0.6,G,General,"Ryan, Mike"
